Instancia,Clientes,Modo,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,50000,15,0,1,469110,85555.9,383554,46587.7,8239.98,10,10,78276.7
C102,100,T,50000,15,0,1,449113,31915.1,417198,44584.3,2873.58,10,10,78768.9
C103,100,T,50000,15,0,1,293863,22565.4,271298,29130.9,1903.8,10,10,75067.2
C104,100,T,50000,15,0,1,190654,4340.9,186313,18848,167.452,10,10,73274.2
C105,100,T,50000,15,0,1,446590,79897.9,366692,44341.4,7677.44,10,10,81960.3
C106,100,T,50000,15,0,1,409056,39040,370016,40581.7,3632.62,10,10,84498.8
C107,100,T,50000,15,0,1,350959,36916.9,314042,34789.1,3413.6,10,10,85924.7
C108,100,T,50000,15,0,1,239438,26277.4,213160,23670.4,2346.6,10,10,87052.9
C109,100,T,50000,15,0,1,204178,3548.99,200629,20162.2,102.922,10,10,83768.4
C1_4_1,400,T,50000,15,0,1,1.63262e+06,1.5215e+06,111121,161342,150041,36,36,32872.7
C1_4_2,400,T,50000,15,0,1,1.19743e+06,988593,208841,117987,96780.2,36,36,27113
C1_4_3,400,T,50000,15,0,1,832226,536577,295650,81820.3,51928.2,36,36,27931.1
C1_4_4,400,T,50000,15,0,1,460175,231231,228944,44911.8,21757,36,36,27878.4
C1_4_5,400,T,50000,15,0,1,1.49608e+06,1.37309e+06,122984,147717,135251,36,36,27904.9
R1_6_1,600,T,50000,15,0,1,1.19177e+06,1.04162e+06,150149,115329,100180,54,54,20044.5
R1_6_2,600,T,50000,15,0,1,966945,790755,176190,92978.5,75048.2,54,54,19931
R1_6_3,600,T,50000,15,0,1,516682,405128,111554,48617.5,37348.8,54,54,18523.8
R1_6_4,600,T,50000,15,0,1,301873,233389,68483.9,27619.5,20794,54,54,18748.7
R1_6_5,600,T,50000,15,0,1,959892,832814,127078,92293.6,79365.3,54,54,21130.2
R2_8_1,800,T,50000,15,0,1,1.69008e+07,1.44451e+07,2.45562e+06,1.68419e+06,1.43773e+06,15,15,15517.2
R2_8_2,800,T,50000,15,0,1,1.29695e+07,1.05203e+07,2.44917e+06,1.29146e+06,1.04581e+06,15,15,14100.3
R2_8_3,800,T,50000,15,0,1,9.80484e+06,6.97195e+06,2.83289e+06,976006,692102,15,15,14385.5
R2_8_4,800,T,50000,15,0,1,5.59831e+06,3.4766e+06,2.12171e+06,556638,343916,15,15,14875.1
R2_8_5,800,T,50000,15,0,1,1.51402e+07,1.26024e+07,2.53778e+06,1.50816e+06,1.25357e+06,15,15,14824.3
RC210_1,1000,T,50000,15,0,1,1.87076e+07,1.69978e+07,1.7098e+06,1.86398e+06,1.69207e+06,18,18,12389.5
