Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782440952,20000,15,0,1,469110,153373,315737,46587.7,15058.1,10,10,4298.38
C102,100,T,1782440952,20000,15,0,1,449113,164999,284114,44584.3,16209.1,10,10,4050.55
C103,100,T,1782440952,20000,15,0,1,293863,97152.9,196710,29130.9,9466.04,10,10,4295.56
C1_4_1,400,T,1782440952,20000,15,0,1,1.63262e+06,1.36406e+06,268558,161342,134438,36,36,87094.3
R1_6_1,600,T,1782440952,20000,15,0,1,1.19177e+06,950970,240800,115329,91310.8,54,54,213433
