Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782442216,20000,20,1,1,469110,63967,405143,46587.7,6185.07,10,10,7289.91
C102,100,T,1782442216,20000,20,1,1,449113,15256,433857,44584.3,1290.02,10,10,6680.16
C103,100,T,1782442216,20000,20,1,1,293863,7917.39,285946,29130.9,565.348,10,10,7215.43
C1_4_1,400,T,1782442216,20000,20,1,1,1.63262e+06,1.20072e+06,431906,161342,118111,36,36,159949
R1_6_1,600,T,1782442216,20000,20,1,1,1.19177e+06,935950,255820,115329,89763.6,54,54,397401
