Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782440665,20000,15,1,0,469110,152857,316253,46587.7,15030.1,10,10,2720.44
C102,100,T,1782440665,20000,15,1,0,449113,113778,335335,44584.3,11115.5,10,10,2626.87
C103,100,T,1782440665,20000,15,1,0,293863,28428.8,265434,29130.9,2584.49,10,10,2785.2
C1_4_1,400,T,1782440665,20000,15,1,0,1.63262e+06,1.23521e+06,397412,161342,121552,36,36,65197.8
R1_6_1,600,T,1782440665,20000,15,1,0,1.19177e+06,1.03549e+06,156280,115329,99649.8,54,54,154919
