Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782445812,20000,15,1,1,469110,15371.4,453739,46587.7,1327.6,10,10,7491.53
C102,100,T,1782445812,20000,15,1,1,449113,2084.58,447029,44584.3,1.33218,10,10,7568.23
C103,100,T,1782445812,20000,15,1,1,293863,1934.54,291929,29130.9,0.0125105,10,10,8508.45
C1_4_1,400,T,1782445812,20000,15,1,1,1.63262e+06,1.35937e+06,273255,161342,133830,36,36,2597.47
R1_6_1,600,T,1782445812,20000,15,1,1,1.19177e+06,1.0548e+06,136971,115329,101509,54,54,1883.01
