Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782444065,30000,15,1,1,469110,63947.6,405163,46587.7,6182.44,10,10,9632.06
C102,100,T,1782444065,30000,15,1,1,449113,15142.5,433971,44584.3,1273.4,10,10,9719.49
C103,100,T,1782444065,30000,15,1,1,293863,7769.4,286094,29130.9,542.67,10,10,10224.7
C1_4_1,400,T,1782444065,30000,15,1,1,1.63262e+06,1.09811e+06,534511,161342,107867,36,36,225367
R1_6_1,600,T,1782444065,30000,15,1,1,1.19177e+06,878653,313117,115329,84021.8,54,54,556628
