Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782443705,10000,15,1,1,469110,71779.4,397331,46587.7,6957.86,10,10,3611.58
C102,100,T,1782443705,10000,15,1,1,449113,43867,405246,44584.3,4118.04,10,10,3369.38
C103,100,T,1782443705,10000,15,1,1,293863,8524.63,285339,29130.9,606.55,10,10,3499.09
C1_4_1,400,T,1782443705,10000,15,1,1,1.63262e+06,1.38639e+06,246235,161342,136701,36,36,74150.7
R1_6_1,600,T,1782443705,10000,15,1,1,1.19177e+06,1.03997e+06,151804,115329,100221,54,54,176361
