Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782442968,20000,50,1,1,469110,63215.1,405895,46587.7,6116.73,10,10,6835.97
C102,100,T,1782442968,20000,50,1,1,449113,15256,433857,44584.3,1290.02,10,10,7117.67
C103,100,T,1782442968,20000,50,1,1,293863,8438.31,285425,29130.9,606.55,10,10,7332.95
C1_4_1,400,T,1782442968,20000,50,1,1,1.63262e+06,1.20072e+06,431906,161342,118111,36,36,147425
R1_6_1,600,T,1782442968,20000,50,1,1,1.19177e+06,935950,255820,115329,89763.6,54,54,379236
