Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782446098,20000,15,1,1,469110,11297.7,457813,46587.7,942.83,10,10,7627.77
C102,100,T,1782446098,20000,15,1,1,449113,2805.47,446308,44584.3,49.2118,10,10,7241.02
C103,100,T,1782446098,20000,15,1,1,293863,1832.32,292031,29130.9,0,10,10,7122.01
C1_4_1,400,T,1782446098,20000,15,1,1,1.63262e+06,1.37309e+06,259530,161342,135157,36,36,2365.46
R1_6_1,600,T,1782446098,20000,15,1,1,1.19177e+06,1.07498e+06,116794,115329,103615,54,54,1626.62
