Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782446020,20000,15,1,1,469110,31997.8,437112,46587.7,2979.36,10,10,7332.85
C102,100,T,1782446020,20000,15,1,1,449113,2084.24,447029,44584.3,2.41225,10,10,7220.33
C103,100,T,1782446020,20000,15,1,1,293863,2158.12,291705,29130.9,0,10,10,7309.51
C1_4_1,400,T,1782446020,20000,15,1,1,1.63262e+06,1.36839e+06,264228,161342,134746,36,36,2349.42
R1_6_1,600,T,1782446020,20000,15,1,1,1.19177e+06,1.06316e+06,128606,115329,102349,54,54,1637.58
