Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782445919,20000,15,1,1,469110,10283.5,458827,46587.7,854.677,10,10,7557.86
C102,100,T,1782445919,20000,15,1,1,449113,2271.72,446841,44584.3,0,10,10,7155.65
C103,100,T,1782445919,20000,15,1,1,293863,1922.94,291940,29130.9,0,10,10,7167.01
C1_4_1,400,T,1782445919,20000,15,1,1,1.63262e+06,1.31126e+06,321366,161342,128978,36,36,2375.76
R1_6_1,600,T,1782445919,20000,15,1,1,1.19177e+06,1.06755e+06,124225,115329,102800,54,54,1632.4
