Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782445972,20000,15,1,1,469110,10739.6,458371,46587.7,896.862,10,10,7824.53
C102,100,T,1782445972,20000,15,1,1,449113,1966.1,447147,44584.3,0,10,10,7313
C103,100,T,1782445972,20000,15,1,1,293863,1941.69,291922,29130.9,0,10,10,7608.38
C1_4_1,400,T,1782445972,20000,15,1,1,1.63262e+06,1.37665e+06,255969,161342,135497,36,36,2356.9
R1_6_1,600,T,1782445972,20000,15,1,1,1.19177e+06,1.06767e+06,124103,115329,102674,54,54,1625.56
