Instancia,Clientes,Modo,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,50000,15,1,0,469110,110552,358558,46587.7,10822.8,10,10,85176.3
C102,100,T,50000,15,1,0,449113,52307.9,396805,44584.3,4967.62,10,10,73498
C103,100,T,50000,15,1,0,293863,23660,270203,29130.9,2125.72,10,10,77151.8
C104,100,T,50000,15,1,0,190654,17778.9,172875,18848,1565.83,10,10,72895.2
C105,100,T,50000,15,1,0,446590,86001.2,360589,44341.4,8374.67,10,10,73030.4
C106,100,T,50000,15,1,0,409056,75590.6,333465,40581.7,7338.2,10,10,73510.8
C107,100,T,50000,15,1,0,350959,73286.7,277672,34789.1,7118.69,10,10,76472
C108,100,T,50000,15,1,0,239438,47858.5,191579,23670.4,4558.5,10,10,85839.3
C109,100,T,50000,15,1,0,204178,28122.8,176056,20162.2,2599.19,10,10,93565.9
C1_4_1,400,T,50000,15,1,0,1.63262e+06,1.19898e+06,433639,161342,117818,36,36,28858.4
C1_4_2,400,T,50000,15,1,0,1.19743e+06,724507,472927,117987,70408.7,36,36,25888
C1_4_3,400,T,50000,15,1,0,832226,325164,507063,81820.3,30769.2,36,36,28122.9
C1_4_4,400,T,50000,15,1,0,460175,124195,335981,44911.8,10872.7,36,36,25952.4
C1_4_5,400,T,50000,15,1,0,1.49608e+06,1.01742e+06,478655,147717,99685.7,36,36,25488.8
R1_6_1,600,T,50000,15,1,0,1.19177e+06,1.16592e+06,25847.9,115329,112195,54,54,20144.5
R1_6_2,600,T,50000,15,1,0,966945,835706,131239,92978.5,79295.7,54,54,18789.1
R1_6_3,600,T,50000,15,1,0,516682,406932,109750,48617.5,37112.7,54,54,17539.5
R1_6_4,600,T,50000,15,1,0,301873,144363,157510,27619.5,11205.4,54,54,19628.9
R1_6_5,600,T,50000,15,1,0,959892,905745,54147.1,92293.6,86612.6,54,54,18026.1
R2_8_1,800,T,50000,15,1,0,1.69008e+07,1.63995e+07,501249,1.68419e+06,1.63372e+06,15,15,12821.4
R2_8_2,800,T,50000,15,1,0,1.29695e+07,1.22171e+07,752402,1.29146e+06,1.21579e+06,15,15,13547.3
R2_8_3,800,T,50000,15,1,0,9.80484e+06,8.56682e+06,1.23802e+06,976006,851475,15,15,17682.3
R2_8_4,800,T,50000,15,1,0,5.59831e+06,4.17642e+06,1.42189e+06,556638,413161,15,15,18181.4
R2_8_5,800,T,50000,15,1,0,1.51402e+07,1.4111e+07,1.02916e+06,1.50816e+06,1.40496e+06,15,15,16706.1
RC210_1,1000,T,50000,15,1,0,1.87076e+07,1.83591e+07,348481,1.86398e+06,1.8287e+06,18,18,12543.7
