Instancia,Clientes,Modo,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,A,50000,15,1,1,469110,30480.1,438630,46587.7,2838.37,10,10,49528.2
C102,100,A,50000,15,1,1,449113,2102.68,447011,44584.3,0,10,10,49649.9
C103,100,A,50000,15,1,1,293863,1992.71,291871,29130.9,0,10,10,52487.5
C104,100,A,50000,15,1,1,190654,1734,188920,18848,0,10,10,49348.5
C105,100,A,50000,15,1,1,446590,13929.9,432660,44341.4,1191.22,10,10,71893.1
C106,100,A,50000,15,1,1,409056,3675.27,405380,40581.7,161.04,10,10,67369.4
C107,100,A,50000,15,1,1,350959,9305.58,341653,34789.1,704.213,10,10,68022.8
C108,100,A,50000,15,1,1,239438,1800.57,237637,23670.4,0,10,10,68389.1
C109,100,A,50000,15,1,1,204178,1782.41,202396,20162.2,0,10,10,74017.1
C1_4_1,400,A,50000,15,1,1,1.63262e+06,1.23226e+06,400365,161342,121080,36,36,17689.5
C1_4_2,400,A,50000,15,1,1,1.19743e+06,779140,418294,117987,75867.5,36,36,17970.1
C1_4_3,400,A,50000,15,1,1,832226,340449,491777,81820.3,32263.4,36,36,19034.5
C1_4_4,400,A,50000,15,1,1,460175,81107.3,379068,44911.8,6457.03,36,36,17989.1
C1_4_5,400,A,50000,15,1,1,1.49608e+06,1.07021e+06,425870,147717,105035,36,36,17650.3
R1_6_1,600,A,50000,15,1,1,1.19177e+06,1.09171e+06,100057,115329,105230,54,54,12637.6
R1_6_2,600,A,50000,15,1,1,966945,803975,162970,92978.5,76288.5,54,54,12496.7
R1_6_3,600,A,50000,15,1,1,516682,402748,113934,48617.5,36924.5,54,54,13003
R1_6_4,600,A,50000,15,1,1,301873,149800,152074,27619.5,11857.5,54,54,12376.5
R1_6_5,600,A,50000,15,1,1,959892,829201,130691,92293.6,78913.7,54,54,12643.6
R2_8_1,800,A,50000,15,1,1,1.69008e+07,1.45945e+07,2.30626e+06,1.68419e+06,1.45246e+06,15,15,9083.53
R2_8_2,800,A,50000,15,1,1,1.29695e+07,1.1017e+07,1.95244e+06,1.29146e+06,1.09524e+06,15,15,8986.65
R2_8_3,800,A,50000,15,1,1,9.80484e+06,6.94263e+06,2.8622e+06,976006,688706,15,15,9043.35
R2_8_4,800,A,50000,15,1,1,5.59831e+06,3.12743e+06,2.47088e+06,556638,308321,15,15,9639.9
R2_8_5,800,A,50000,15,1,1,1.51402e+07,1.29272e+07,2.21304e+06,1.50816e+06,1.28611e+06,15,15,9056.45
RC210_1,1000,A,50000,15,1,1,1.87076e+07,1.72231e+07,1.48454e+06,1.86398e+06,1.71468e+06,18,18,7699.4
